university,city,department,factor,reviewer_type,review_text,rating,
NUML,Islamabad,Business,Labs,Staff,"University: NUML, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Alumni feedback corroborates these points.",2,
SZABIST Islamabad,Islamabad,Mechanical Engineering,Management,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Elective approvals and administrative disputes can take several weeks to resolve.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Biology,Faculty,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",2,
Rawalpindi Medical University,Rawalpindi,Mechanical Engineering,Campus,Faculty,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
NUST,Islamabad,Civil,Overall,Alumni,"University: NUST, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Civil faculty recently collaborated with local industry on projects.",5,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Labs,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Lab booking logs and placement statistics reflect this trend.",2,
Riphah International University,Islamabad,Business,Cafeteria,Postgraduate student,"University: Riphah International University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
Rawalpindi Medical University,Rawalpindi,Biology,Management,Faculty,"University: Rawalpindi Medical University, City: Rawalpindi. Management: Online portals simplify registration and fee payments; scholarship info is clear.",5,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Overall,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students.",4,
Riphah International University,Islamabad,Civil,Management,Faculty,"University: Riphah International University, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Alumni feedback corroborates these points. More networking sessions would help.",4,
BNU - Beaconhouse National University,Islamabad,Medical,Faculty,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Alumni feedback corroborates these points.",5,
SZABIST Islamabad,Islamabad,Electrical Engineering,Events,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks.",5,
COMSATS,Islamabad,Economics,Events,Undergraduate student,"University: COMSATS, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Logistics and scheduling conflicts sometimes reduce event quality. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",3,
CUST,Islamabad,Civil,Sports,Undergraduate student,"University: CUST, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions.",4,
Riphah Rawalpindi Campus,Rawalpindi,Biology,Sports,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Economics,Faculty,Postgraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Economics faculty recently collaborated with local industry on projects. Based on informal surveys among peers, this is a recurring pattern.",5,
APCOMS,Rawalpindi,Physics,Labs,Postgraduate student,"University: APCOMS, City: Rawalpindi. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects.",1,
Riphah International University,Islamabad,Mechanical Engineering,Labs,Postgraduate student,"University: Riphah International University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",4,
APCOMS,Rawalpindi,Physics,Events,Faculty,"University: APCOMS, City: Rawalpindi. Events: Logistics and scheduling conflicts sometimes reduce event quality. Focus groups highlighted these issues during exit interviews. Based on informal surveys among peers, this is a recurring pattern.",1,
Rawalpindi Medical University,Rawalpindi,Computer Science,Campus,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Green campus spaces useful for group study and outdoor events.",4,
Riphah Rawalpindi Campus,Rawalpindi,Electrical Engineering,Resources,Faculty,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Resources: Resource allocation can be uneven; some departments report outdated software or restricted hours. Focus groups highlighted these issues during exit interviews.",1,
APCOMS,Rawalpindi,Civil,Events,Faculty,"University: APCOMS, City: Rawalpindi. Events: Student societies run well-attended cultural and academic events. Event funding fluctuates year-to-year causing some cancellations. Alumni feedback corroborates these points.",2,
BNU - Beaconhouse National University,Islamabad,Economics,Faculty,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Resources,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Resources: Recent investments improved library and database subscriptions.",4,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Physics,Labs,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects. Based on informal surveys among peers, this is a recurring pattern.",2,
Foundation University Islamabad,Islamabad,Electrical Engineering,Hostels,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Hostels: Shared bathrooms and load-shedding affect daily comfort in older hostels.",1,
BNU - Beaconhouse National University,Islamabad,Business,Sports,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Funding for competitive teams is limited and coaching is inconsistent.",3,
Air University,Islamabad,Business,Faculty,Alumni,"University: Air University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",3,
CUST,Islamabad,Civil,Resources,Undergraduate student,"University: CUST, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews.",2,
Riphah Rawalpindi Campus,Rawalpindi,Biology,Management,Alumni,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Management: Students report slow responses from some administrative offices during peak periods. Based on informal surveys among peers, this is a recurring pattern.",2,
NUST,Islamabad,Medical,Cafeteria,Faculty,"University: NUST, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",2,
CUST,Islamabad,Civil,Sports,Undergraduate student,"University: CUST, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. Focus groups highlighted these issues during exit interviews.",1,
FAST-NUCES,Islamabad,Economics,Sports,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Funding for competitive teams is limited and coaching is inconsistent. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
APCOMS,Rawalpindi,Medical,Labs,Staff,"University: APCOMS, City: Rawalpindi. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects.",4,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Physics,Events,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Events: Logistics and scheduling conflicts sometimes reduce event quality. Focus groups highlighted these issues during exit interviews.",1,
Riphah Rawalpindi Campus,Rawalpindi,Electrical Engineering,Management,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Management: Students report slow responses from some administrative offices during peak periods. This aligns with several student forum complaints from last semester.",2,
NUST,Islamabad,Electrical Engineering,Cafeteria,Faculty,"University: NUST, City: Islamabad. Cafeteria: Food hygiene and variety are sometimes a concern, especially during busy hours. Focus groups highlighted these issues during exit interviews.",1,
Quaid-i-Azam University,Islamabad,Physics,Labs,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Economics,Faculty,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",1,
GIKI (commuter students),Rawalpindi,Physics,Sports,Alumni,"University: GIKI (commuter students), City: Rawalpindi. Sports: Facilities are adequate for casual and intramural sports. Physics faculty recently collaborated with local industry on projects.",4,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Overall,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Economics,Management,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",4,
GIKI (commuter students),Rawalpindi,Economics,Cafeteria,Alumni,"University: GIKI (commuter students), City: Rawalpindi. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Based on informal surveys among peers, this is a recurring pattern.",5,
FAST-NUCES,Islamabad,Physics,Management,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Management: Grievance cells and student helplines exist to address issues.",4,
SZABIST Islamabad,Islamabad,Business,Management,Faculty,"University: SZABIST Islamabad, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Students report slow responses from some administrative offices during peak periods. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
APCOMS,Rawalpindi,Civil,Overall,Undergraduate student,"University: APCOMS, City: Rawalpindi. Overall: Placement support favours top students; average students find fewer opportunities.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Biology,Overall,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students.",4,
NUST,Islamabad,Business,Sports,Faculty,"University: NUST, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff.",2,
Riphah Rawalpindi Campus,Rawalpindi,Computer Science,Labs,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Certain lab equipment is dated and booking is competitive, delaying final projects. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
Riphah Rawalpindi Campus,Rawalpindi,Computer Science,Sports,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Sports: Facilities are adequate for casual and intramural sports. Funding for competitive teams is limited and coaching is inconsistent. Lab booking logs and placement statistics reflect this trend.",4,
APCOMS,Rawalpindi,Biology,Management,Faculty,"University: APCOMS, City: Rawalpindi. Management: Grievance cells and student helplines exist to address issues. Elective approvals and administrative disputes can take several weeks to resolve. Based on informal surveys among peers, this is a recurring pattern.",4,
SZABIST Islamabad,Islamabad,Economics,Management,Undergraduate student,"University: SZABIST Islamabad, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve. Based on informal surveys among peers, this is a recurring pattern.",4,
Foundation University Islamabad,Islamabad,Medical,Sports,Staff,"University: Foundation University Islamabad, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff.",3,
FAST-NUCES,Islamabad,Mechanical Engineering,Cafeteria,Alumni,"University: FAST-NUCES, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Long queues and limited seating during events are frequent complaints.",3,
FAST-NUCES,Islamabad,Mechanical Engineering,Campus,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks.",3,
COMSATS,Islamabad,Civil,Labs,Staff,"University: COMSATS, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",4,
Foundation University Islamabad,Islamabad,Medical,Sports,Undergraduate student,"University: Foundation University Islamabad, City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent.",3,
BNU - Beaconhouse National University,Islamabad,Biology,Management,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Elective approvals and administrative disputes can take several weeks to resolve.",3,
NUST,Islamabad,Civil,Resources,Postgraduate student,"University: NUST, City: Islamabad. Resources: Recent investments improved library and database subscriptions. In Civil, students reported strong project outcomes this year. Based on informal surveys among peers, this is a recurring pattern.",5,
Rawalpindi Medical University,Rawalpindi,Computer Science,Events,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Events: Tech expos and speaker series bring industry professionals and recent research talks. Logistics and scheduling conflicts sometimes reduce event quality.",4,
Riphah Rawalpindi Campus,Rawalpindi,Civil,Cafeteria,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Cafeteria: Long queues and limited seating during events are frequent complaints.",2,
CUST,Islamabad,Medical,Overall,Undergraduate student,"University: CUST, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",4,
Riphah Rawalpindi Campus,Rawalpindi,Civil,Cafeteria,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Cafeteria: Long queues and limited seating during events are frequent complaints.",3,
Quaid-i-Azam University,Islamabad,Physics,Faculty,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Students recommended extending lab hours.",2,
NUML,Islamabad,Civil,Faculty,Alumni,"University: NUML, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",3,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Computer Science,Campus,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
Riphah International University,Islamabad,Mechanical Engineering,Cafeteria,Alumni,"University: Riphah International University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Students recommended extending lab hours.",4,
GIKI (commuter students),Rawalpindi,Medical,Events,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Events: Tech expos and speaker series bring industry professionals and recent research talks. Event funding fluctuates year-to-year causing some cancellations. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",2,
Riphah Rawalpindi Campus,Rawalpindi,Medical,Campus,Faculty,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Campus: Accessibility gaps remain despite improvements in some areas. This aligns with several student forum complaints from last semester.",1,
Air University,Islamabad,Physics,Labs,Alumni,"University: Air University, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. In Physics, students reported strong project outcomes this year. More networking sessions would help.",4,
Quaid-i-Azam University,Islamabad,Biology,Events,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Events: Event funding fluctuates year-to-year causing some cancellations. This aligns with several student forum complaints from last semester.",2,
APCOMS,Rawalpindi,Computer Science,Campus,Faculty,"University: APCOMS, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks. Alumni feedback corroborates these points.",3,
Quaid-i-Azam University,Islamabad,Electrical Engineering,Overall,Staff,"University: Quaid-i-Azam University, City: Islamabad. Overall: Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. This aligns with several student forum complaints from last semester.",1,
Rawalpindi Medical University,Rawalpindi,Physics,Events,Staff,"University: Rawalpindi Medical University, City: Rawalpindi. Events: Event funding fluctuates year-to-year causing some cancellations. This aligns with several student forum complaints from last semester.",1,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Civil,Faculty,Alumni,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Based on informal surveys among peers, this is a recurring pattern.",5,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Medical,Faculty,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4,
APCOMS,Rawalpindi,Economics,Cafeteria,Alumni,"University: APCOMS, City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded.",5,
Rawalpindi Medical University,Rawalpindi,Electrical Engineering,Labs,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",4,
Quaid-i-Azam University,Islamabad,Business,Hostels,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security.",5,
NUML,Islamabad,Electrical Engineering,Faculty,Undergraduate student,"University: NUML, City: Islamabad. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",3,
NUML,Islamabad,Economics,Cafeteria,Faculty,"University: NUML, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Based on informal surveys among peers, this is a recurring pattern. Hostel maintenance needs faster turnaround.",3,
GIKI (commuter students),Rawalpindi,Computer Science,Events,Staff,"University: GIKI (commuter students), City: Rawalpindi. Events: Event funding fluctuates year-to-year causing some cancellations.",3,
FAST-NUCES,Islamabad,Medical,Resources,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
CUST,Islamabad,Computer Science,Cafeteria,Alumni,"University: CUST, City: Islamabad. Cafeteria: Food hygiene and variety are sometimes a concern, especially during busy hours.",1,
Foundation University Islamabad,Islamabad,Electrical Engineering,Campus,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Accessibility gaps remain despite improvements in some areas. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
FAST-NUCES,Islamabad,Medical,Management,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",2,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Sports,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff.",3,
Riphah Rawalpindi Campus,Rawalpindi,Electrical Engineering,Hostels,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Electrical Engineering faculty recently collaborated with local industry on projects.",4,
NUST,Islamabad,Mechanical Engineering,Sports,Staff,"University: NUST, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. Focus groups highlighted these issues during exit interviews. Based on informal surveys among peers, this is a recurring pattern.",1,
NUST,Islamabad,Electrical Engineering,Hostels,Postgraduate student,"University: NUST, City: Islamabad. Hostels: Strict curfews and slow maintenance responses frustrate many residents. Focus groups highlighted these issues during exit interviews. Lab booking logs and placement statistics reflect this trend.",2,
GIKI (commuter students),Rawalpindi,Business,Resources,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Resources: Resource allocation can be uneven; some departments report outdated software or restricted hours. Focus groups highlighted these issues during exit interviews. Lab booking logs and placement statistics reflect this trend.",2,
CUST,Islamabad,Economics,Campus,Undergraduate student,"University: CUST, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Economics faculty recently collaborated with local industry on projects. Alumni feedback corroborates these points.",5,
Quaid-i-Azam University,Islamabad,Computer Science,Sports,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. This aligns with several student forum complaints from last semester.",1,
Foundation University Islamabad,Islamabad,Electrical Engineering,Management,Alumni,"University: Foundation University Islamabad, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear.",5,
Riphah Rawalpindi Campus,Rawalpindi,Business,Overall,Faculty,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students. Based on informal surveys among peers, this is a recurring pattern.",4,
Riphah International University,Islamabad,Medical,Overall,Postgraduate student,"University: Riphah International University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",5,
Rawalpindi Medical University,Rawalpindi,Mechanical Engineering,Faculty,Staff,"University: Rawalpindi Medical University, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
CUST,Islamabad,Mechanical Engineering,Resources,Staff,"University: CUST, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews.",3,
BNU - Beaconhouse National University,Islamabad,Electrical Engineering,Cafeteria,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded.",5,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Mechanical Engineering,Resources,Postgraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Resources: Recent investments improved library and database subscriptions. Resource allocation can be uneven; some departments report outdated software or restricted hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",3,
BNU - Beaconhouse National University,Islamabad,Civil,Faculty,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. This aligns with several student forum complaints from last semester.",2,
NUML,Islamabad,Electrical Engineering,Cafeteria,Undergraduate student,"University: NUML, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
BNU - Beaconhouse National University,Islamabad,Business,Resources,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Resources: Recent investments improved library and database subscriptions. Resource allocation can be uneven; some departments report outdated software or restricted hours.",3,
APCOMS,Rawalpindi,Economics,Sports,Alumni,"University: APCOMS, City: Rawalpindi. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff.",3,
Quaid-i-Azam University,Islamabad,Physics,Labs,Staff,"University: Quaid-i-Azam University, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Focus groups highlighted these issues during exit interviews. A visible improvement over the past two years.",3,
Riphah Rawalpindi Campus,Rawalpindi,Physics,Resources,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours.",4,
Riphah Rawalpindi Campus,Rawalpindi,Biology,Management,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3,
BNU - Beaconhouse National University,Islamabad,Business,Faculty,Alumni,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Based on informal surveys among peers, this is a recurring pattern.",5,
Rawalpindi Medical University,Rawalpindi,Physics,Events,Staff,"University: Rawalpindi Medical University, City: Rawalpindi. Events: Tech expos and speaker series bring industry professionals and recent research talks. Event funding fluctuates year-to-year causing some cancellations. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
CUST,Islamabad,Civil,Hostels,Staff,"University: CUST, City: Islamabad. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces.",4,
COMSATS,Islamabad,Civil,Sports,Postgraduate student,"University: COMSATS, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions.",3,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Campus,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features.",2,
Riphah International University,Islamabad,Physics,Overall,Staff,"University: Riphah International University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. A visible improvement over the past two years.",4,
APCOMS,Rawalpindi,Physics,Cafeteria,Staff,"University: APCOMS, City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded.",5,
CUST,Islamabad,Medical,Labs,Alumni,"University: CUST, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",5,
COMSATS,Islamabad,Mechanical Engineering,Labs,Undergraduate student,"University: COMSATS, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",2,
NUST,Islamabad,Economics,Campus,Faculty,"University: NUST, City: Islamabad. Campus: Accessibility gaps remain despite improvements in some areas.",1,
SZABIST Islamabad,Islamabad,Mechanical Engineering,Management,Alumni,"University: SZABIST Islamabad, City: Islamabad. Management: Elective approvals and administrative disputes can take several weeks to resolve.",2,
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Management,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Management: Elective approvals and administrative disputes can take several weeks to resolve. This aligns with several student forum complaints from last semester.",2,
APCOMS,Rawalpindi,Electrical Engineering,Events,Staff,"University: APCOMS, City: Rawalpindi. Events: Logistics and scheduling conflicts sometimes reduce event quality. Lab booking logs and placement statistics reflect this trend.",2,
GIKI (commuter students),Rawalpindi,Economics,Labs,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",4,
APCOMS,Rawalpindi,Biology,Management,Faculty,"University: APCOMS, City: Rawalpindi. Management: Students report slow responses from some administrative offices during peak periods. Lab booking logs and placement statistics reflect this trend.",1,
SZABIST Islamabad,Islamabad,Business,Hostels,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces. Based on informal surveys among peers, this is a recurring pattern.",4,
NUML,Islamabad,Civil,Management,Staff,"University: NUML, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve. Alumni feedback corroborates these points.",3,
